"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Awabel",0.392,57503,50199,65003,14804,55137,59896,4759,3.11
"Aware",0.372,0,0,0,0,0,0,0,NA
"Awasa",0.245,17836,12072,24279,12207,16687,19036,2349,5.2
"Awasa Zuria",0.249,38627,29862,47948,18086,36747,40558,3811,4.75
"Awash Fentale",0.444,41436,33763,50376,16613,38609,44286,5676,2.93
"Awra",0.201,26606,5354,68187,62833,14303,43166,28864,2.18
"Ayida",0.347,9463,8181,10693,2512,9152,9777,626,4.01
"Ayira",0.282,14008,12441,15615,3174,13676,14343,666,4.77
"Ayisha",0.321,11,0,0,0,0,97,97,0
"Aysaita",0.195,8906,0,18978,18978,358,38171,37812,0.5
"Babile",0.35,0,0,0,0,0,0,0,NA
"Babo",0.361,16607,14946,18233,3287,16289,16927,638,5.15
"Badele Zuria",0.323,25967,23397,28660,5263,25505,26433,927,5.68
"Bahir Dar Zuria",0.303,216338,156588,277961,121373,205998,227020,21022,5.77
"Bako Gazer",0.357,61327,54589,68816,14227,59301,63378,4077,3.49
"Bako Tibe",0.322,57437,51022,63965,12943,56173,58715,2541,5.09
"Bambasi",0.499,18389,16702,20062,3360,17967,18811,844,3.98
"Banja",0.278,36657,30970,43089,12119,35579,37749,2170,5.58
"Bare",0.432,0,0,0,0,0,0,0,NA
"Basketo",0.362,8047,7240,8883,1643,7829,8267,439,3.74
"Baso Liben",0.391,49610,44009,55554,11545,47879,51357,3477,3.32
"Basona Worena",0.466,73596,58231,87421,29191,69286,77933,8647,3.38
"Bati",0.571,56971,45395,67745,22350,53009,60869,7859,2.84
"Becho",0.35,44809,39891,49783,9893,43447,46184,2737,3.61
"Bedeno",0.331,0,0,0,0,0,0,0,NA
"Begi",0.457,22130,19908,24318,4410,21592,22670,1078,4.09
"Bele Gesgar",0.256,26745,21458,32866,11408,24750,28815,4065,2.81
"Bena Tsemay",0.378,44855,39795,50038,10243,43213,46514,3301,3.1
"Bensa",0.224,33579,25749,43414,17665,31472,35759,4287,4.12
"Berahile",0.045,391,16,1729,1713,114,946,832,2.06
"Berbere",0.215,15066,11456,19134,7678,13598,16616,3018,2.54
"Bereh",0.409,58725,48920,68136,19216,56037,61442,5404,3.56
"Berehet",0.439,23004,19128,26880,7752,21732,24287,2555,3.03
"Bero",0.623,3286,2732,3821,1089,3094,3471,377,2.89
"Beyeda",0.247,17350,12580,22400,9820,15630,19180,3550,2.77
"Bibugn",0.348,34191,27783,40887,13104,32721,35684,2963,4.42
"Bidu",0.056,447,2,2718,2716,69,1389,1320,2.06
"Bila Seyo",0.336,17602,15910,19396,3487,17210,17998,787,4.43
"Bilidigilu",0.471,9484,8572,10406,1834,9266,9703,437,4.2
"Bilo Nopha",0.295,9613,8637,10658,2021,9390,9838,448,4.51
"Bio Jiganifado",0.336,18494,16461,20546,4085,18004,18990,987,4.14
"Bita",0.304,21120,18198,23858,5660,20563,21684,1120,5.05
"Boh",0.362,0,0,0,0,0,0,0,NA
"Boji Chekorsa",0.281,13570,12140,15102,2962,13257,13887,630,4.7
"Boji Dirmeji",0.284,11399,10167,12806,2639,11095,11707,612,4.31
"Boke",0.309,24670,19643,30099,10456,7523,50901,43378,0.24
"Bole",0.316,26428,17792,35056,17263,23670,29332,5662,3.05
"Boloso Bombe",0.369,24961,21830,28197,6366,24266,25663,1397,4.56
"Boloso sore",0.284,35536,28050,43774,15724,34310,36785,2475,6.35
"Bona Zuria",0.21,18503,12571,25680,13109,17364,19686,2322,5.65
"Boneya Boshe",0.326,21706,19471,24158,4688,21288,22128,839,5.59
"Bonke",0.326,40523,34040,47221,13181,39285,41777,2492,5.29
"Bora",0.361,30269,26529,34211,7682,29100,31454,2353,3.26
"Bore",0.242,38222,29537,49245,19708,35999,40517,4517,4.36
"Borecha",0.344,16311,14616,17960,3345,15965,16660,695,4.81
"Boreda",0.334,12902,11386,14369,2983,12524,13286,762,3.91
"Boricha",0.268,62223,48518,76922,28404,59444,65077,5633,5.04
"Boset",0.382,62519,53010,72575,19566,59183,65906,6723,2.91
"Bugna",0.376,33120,26496,39855,13359,31244,35028,3784,3.53
"Bule",0.253,8950,6708,11206,4499,8488,9426,938,4.8
"Bule Hora",0.304,69672,58458,80999,22540,65742,73697,7955,2.83
"Bulen",0.323,18131,16161,20720,4559,17495,18776,1281,3.56
"Bure",0.317,41956,37642,46596,8954,40794,43131,2337,3.83
"Bure Mudaytu",0.526,101070,68967,129585,60619,66188,134928,68740,0.88
"Burji",0.347,18077,15668,20381,4713,17305,18861,1556,3.03
"Bursa",0.218,37457,26086,52440,26354,35327,39661,4334,6.08
"Cheha",0.36,56333,48040,65206,17167,54569,58118,3549,4.84
"Cheliya",0.336,68767,61082,76610,15528,67272,70276,3003,5.17
"Chena",0.309,45963,40466,52358,11892,44652,47296,2644,4.5
"Chencha",0.29,13839,10816,16339,5524,13438,14247,809,6.83
"Chereti/Weyib",0.514,70,0,643,643,21,84,64,10.05
"Cheta",0.35,16953,15206,18798,3592,16535,17375,840,4.28
"Chifra",0.349,197885,114149,298226,184078,156349,243648,87299,2.11
"Chilga",0.321,93532,79769,109561,29792,87189,100077,12888,2.31
"Chinaksen",0.371,0,0,0,0,0,0,0,NA
"Chire",0.221,16388,12518,21126,8608,15266,17553,2287,3.76
"Chiro Zuria",0.323,33028,26524,39420,12896,9817,67074,57257,0.23
"Chole",0.289,31307,25710,37157,11447,29122,33564,4442,2.58
"Chora",0.334,90635,81140,100309,19168,88479,92811,4332,4.42
"Chuko",0.239,24209,18548,30555,12007,23033,25417,2383,5.04
"Chwaka",0.32,10605,9354,12054,2700,10350,10861,511,5.28
"Dabat",0.254,32846,26420,39661,13241,30607,35167,4561,2.9
"Dabo Hana",0.316,20123,18138,22303,4165,19758,20492,734,5.67
"Dale",0.244,20814,15828,26245,10417,19666,21997,2331,4.47
"Dale Sadi",0.27,14243,12753,15815,3062,13880,14611,732,4.18
"Dale Wabera",0.293,4600,4082,5114,1032,4487,4714,227,4.55
"Dalfagi",0.571,52099,37193,64453,27260,46224,57707,11483,2.37
"Dalocha",0.303,27664,23723,31489,7766,26736,28606,1870,4.15
"Dalul",0.03,2041,29,11157,11128,337,6463,6126,1.82
"Damot Gale",0.267,29589,22924,37136,14212,28486,30715,2229,6.38
"Damot Pulasa",0.271,10733,8060,13795,5735,10302,11172,870,6.59
"Damot Sore",0.294,23843,19949,28061,8113,23149,24547,1398,5.8
"Damot Weydie",0.304,28322,24438,32142,7704,27540,29113,1573,4.9
"Dangila",0.251,50060,43961,56752,12792,48711,51427,2715,4.71
"Dangura",0.365,12205,10803,13916,3113,11611,12811,1200,2.59
"Daniboya",0.282,18247,14864,22295,7431,17660,18842,1182,6.29
"Dano",0.337,49096,43545,54483,10939,48094,50105,2011,5.44
"Danot",0.359,0,0,0,0,0,0,0,NA
"Dara",0.25,19255,15426,23857,8432,18260,20277,2018,4.18
"Daramalo",0.346,11844,10494,13152,2658,11568,12121,552,4.82
"Darimu",0.294,33424,29843,37093,7250,32659,34198,1539,4.71
"Daro Lebu",0.321,23169,18581,27782,9201,20294,26292,5997,1.53
"Dasenech (Kuraz)",0.685,387262,330874,438318,107444,292390,467765,175374,0.61
"Dawe Kachen",0.221,7898,5917,10074,4158,4916,11876,6960,0.6
"Dawo",0.387,32975,28911,37117,8206,31960,33999,2039,4.02
"Dawunt",0.431,21100,16469,25744,9275,19763,22449,2686,3.45
"Debark",0.261,30659,23754,37726,13972,28394,33011,4616,3.03
"Debay Telatgen",0.382,40580,32204,47631,15427,38697,42490,3793,4.07
"Debeweyin",0.393,0,0,0,0,0,0,0,NA
"Debre Elias",0.367,40364,35999,44966,8967,39198,41541,2343,3.83
"Debre Libanos",0.441,29320,24754,33890,9136,27878,30775,2897,3.15
"Debresina",0.456,81844,68518,96173,27655,77238,86483,9245,2.99
"Debub Achefer",0.259,44211,38982,49411,10429,42948,45492,2543,4.1
"Debub Bench",0.298,32137,28002,36493,8491,31076,33213,2137,3.97
"Decha",0.347,42527,38037,47284,9247,41437,43628,2191,4.22
"Deder",0.327,48,0,0,0,4,129,124,0
"Dedesa",0.321,26870,23925,30221,6296,26297,27448,1151,5.47
"Dedo",0.327,95454,81683,111175,29492,93143,97789,4646,6.35
"Dega",0.298,21134,18710,23687,4977,20731,21540,809,6.15
"Dega Damot",0.344,48777,41444,56287,14842,46946,50633,3687,4.03
"Degehabur",0.36,0,0,0,0,0,0,0,NA
"Degehamedo",0.344,0,0,0,0,0,0,0,NA
"Degeluna Tijo",0.272,50547,40266,60654,20388,47766,53403,5637,3.62
"Degem",0.432,55509,46585,64228,17643,52897,58146,5249,3.36
"Degua Temben",0.065,6079,1056,17731,16675,2921,11047,8126,2.05
"Dehana",0.357,35657,28227,43451,15225,33508,37850,4342,3.51
"Dehas",0.946,52234,40906,55049,14143,48860,54128,5268,2.68
"Dejen",0.411,36818,32287,41875,9588,35248,38403,3156,3.04
"Delanta",0.448,52304,41020,63682,22663,49007,55631,6623,3.42
"Dembecha",0.347,58812,52168,65846,13679,56944,60701,3758,3.64
"Dembel",0.398,0,0,0,0,0,0,0,NA
"Dembia",0.239,59322,51052,68365,17314,56311,62415,6104,2.84
"Denan",0.364,0,0,0,0,0,0,0,NA
"Dendi",0.385,101750,87913,114661,26748,98522,105008,6486,4.12
"Denibu Gofa",0.364,29495,26152,32823,6671,28704,30294,1589,4.2
"Dera",0.371,176342,154754,198798,44044,168734,184022,15288,2.88
"Derashe",0.331,23056,20199,25783,5584,22294,23828,1534,3.64
"Dessie Zuria",0.497,138313,114004,163682,49679,128677,147948,19272,2.58
"Dewa Cheffa",0.534,72167,59774,85066,25292,67161,77140,9978,2.53
"Dewa Harewa",0.574,38378,31077,45400,14323,35768,40945,5176,2.77
"Dewe",0.596,46887,34827,56736,21909,41716,51782,10067,2.18
"Dibat",0.311,23999,21339,27310,5971,23142,24869,1727,3.46
"Didu",0.297,20453,18097,22865,4768,19869,21045,1176,4.05
"Diga",0.31,30703,27683,34106,6423,30030,31383,1353,4.75
"Diguna Fango",0.297,19221,16915,21431,4515,18652,19798,1146,3.94
"Dihun",0.323,0,0,0,0,0,0,0,NA
"Diksis",0.262,43766,34716,55170,20454,41057,46562,5505,3.72
"Dila Zuria",0.24,2635,1929,3305,1376,2479,2795,316,4.35
"Dillo",0.913,33043,25719,35967,10248,29264,35057,5793,1.77
"Dima",0.589,8459,7078,9772,2694,7944,8947,1003,2.69
"Dinsho",0.239,7946,5611,10257,4647,7254,8671,1416,3.28
"Dire",0.923,81272,62378,87459,25081,75058,85066,10008,2.51
"Dire Dawa",0.377,0,0,0,0,0,0,0,NA
"Dire Dawa/Town",0.371,0,0,0,0,0,0,0,NA
"Dita",0.314,32889,26243,38655,12412,31936,33856,1920,6.46
"Doba",0.344,11785,0,35875,35875,1558,28292,26734,1.34
"Dodola",0.236,61494,47427,76472,29045,57435,65697,8262,3.52
"Dodota",0.328,38808,33570,44724,11154,37017,40630,3613,3.09
"Dolo Odo",0.761,15315,0,51301,51301,7842,16740,8899,5.76
"Dolobay",0.608,36,0,0,0,10,40,29,0
"Dorani",0.296,7204,6417,8159,1742,6997,7414,417,4.18
"Doya Gena",0.281,25262,20104,31279,11175,24315,26228,1914,5.84
"Dubti",0.223,11006,2735,26645,23909,3466,24912,21446,1.11
"Dugda",0.35,55871,48590,63480,14890,53385,58412,5027,2.96
"Dugda Dawa",0.495,84652,65060,105710,40650,77160,92010,14850,2.74
"Dulecha",0.476,79800,64420,96823,32403,74645,84975,10330,3.14
"Dune",0.295,15774,13182,18802,5620,15266,16290,1024,5.49
"East Belesa",0.31,56234,45899,67049,21150,52946,59604,6658,3.18
"East Esite",0.343,55787,46426,64888,18461,53383,58231,4848,3.81
"East Imi",0.337,1,0,0,0,0,3,3,0
"Ebenat",0.332,75985,62242,90059,27817,72099,79949,7849,3.54
"Eferatana Gidem",0.514,27512,22654,32356,9702,25661,29357,3696,2.62
"Ejere",0.405,43857,37957,49528,11572,42268,45461,3192,3.63
"Elidar",0.095,3014,223,7757,7534,261,12485,12224,0.62
"Enarj Enawga",0.416,57808,48160,67354,19195,54993,60655,5662,3.39
"Enbise Sar Midir",0.452,43207,36184,50589,14405,40997,45431,4434,3.25
"Endamehoni",0.175,10023,4865,17328,12463,7150,13528,6378,1.95
"Enderta",0.062,7872,945,26020,25075,3336,15455,12119,2.07
"Endiguagn",0.268,16014,10639,22281,11642,15286,16764,1478,7.88
"Enemay",0.396,61196,52142,70469,18327,58406,64019,5612,3.27
"Enemorina Eaner",0.351,87525,72695,104564,31868,84860,90224,5364,5.94
"Ensaro",0.468,10190,8436,12042,3607,9673,10709,1036,3.48
"Erebti",0.08,4667,140,23821,23681,1408,10688,9280,2.55
"Erer",0.423,23,0,420,420,1,122,122,3.44
"Erob",0.022,337,9,1694,1685,15,1682,1667,1.01
"Esira",0.373,19817,17902,21937,4035,19379,20257,878,4.6
"Ewa",0.319,111379,57795,176385,118589,85646,140095,54449,2.18
"Ezha",0.344,42593,36084,50050,13966,41394,43805,2411,5.79
"Fagta Lakoma",0.265,47404,40386,55329,14942,46015,48814,2800,5.34
"Farta",0.298,71160,58346,83160,24814,67930,74457,6526,3.8
"Fedis",0.352,0,0,0,0,0,0,0,NA
"Fentale",0.418,49756,41301,59348,18048,46519,53035,6516,2.77
"Ferfer",0.406,0,0,0,0,0,0,0,NA
"Fik",0.328,0,0,0,0,0,0,0,NA
"Filtu",0.73,21629,6876,38681,31805,11953,26142,14189,2.24
"Fogera",0.272,61656,53950,69578,15628,59032,64340,5308,2.94
"Gaji",0.283,8510,7512,9530,2018,8320,8703,384,5.26
"Gambela Zuria",0.322,46811,40613,54156,13543,45245,48397,3152,4.3
"Gambella Wild Life Reserve",0.109,0,0,0,0,0,0,0,NA
"Ganta Afeshum",0.023,1494,87,6407,6320,138,6086,5948,1.06
"Gasera",0.232,31684,24802,39639,14837,29011,34481,5471,2.71
"Gashamo",0.37,0,0,0,0,0,0,0,NA
"Gawo Kebe",0.354,19541,17546,21500,3954,19097,19988,891,4.44
"Gaz Gibla",0.393,26778,20234,33320,13086,25035,28552,3517,3.72
"Gechi",0.319,28690,25075,32458,7383,28102,29283,1181,6.25
"Gedeb Asasa",0.222,54689,43372,68504,25131,51062,58449,7387,3.4
"Geladin",0.378,0,0,0,0,0,0,0,NA
"Gelana",0.32,13030,11493,14480,2987,12552,13516,964,3.1
"Gelila",0.346,10902,9206,12440,3234,10585,11222,637,5.08
"Gembora",0.336,32139,28021,36241,8220,31309,32976,1667,4.93
"Gemechis",0.314,40059,10712,54770,44058,6399,95668,89269,0.49
"Gena Bosa",0.361,42532,37897,47456,9559,41573,43498,1925,4.97
"Gera",0.318,37127,31828,42035,10208,36149,38116,1966,5.19
"Gerar Jarso",0.463,28848,24458,33367,8910,27347,30356,3009,2.96
"Gerbo",0.341,0,0,0,0,0,0,0,NA
"Gesha (Deka)",0.293,33764,29069,39481,10412,32797,34743,1946,5.35
"Geta",0.299,23810,17782,31318,13536,22870,24769,1899,7.13
"Getawa",0.321,28691,24927,32607,7680,27809,29590,1781,4.31
"Gewane",0.503,54363,37196,74407,37211,23963,83701,59738,0.62
"Geze Gofa",0.349,20396,17967,22954,4987,19855,20943,1087,4.59
"Gibe",0.338,31583,27579,35778,8199,30805,32367,1562,5.25
"Gida Ayana",0.321,54829,49019,61612,12593,53519,56151,2633,4.78
"Gidami",0.441,21428,19355,23631,4275,20882,21976,1094,3.91
"Gidan",0.41,52282,39641,64403,24762,48721,55897,7176,3.45
"Gimbi",0.301,17084,15178,19093,3916,16656,17518,862,4.54
"Gimbichu",0.401,28777,24008,33559,9551,27331,30240,2908,3.28
"Gimbo",0.318,23742,21265,26278,5014,23210,24280,1070,4.69
"Ginde Beret",0.383,55413,49223,61464,12241,53823,57017,3195,3.83
"Ginir",0.204,37065,28104,47505,19401,27971,49287,21317,0.91
"Girawa",0.337,0,0,0,0,0,0,0,NA
"Girja (Harenfema)",0.247,15226,12528,18155,5627,14150,16341,2191,2.57
"Gishe Rabel",0.543,30761,23978,37003,13025,28779,32725,3947,3.3
"Gnangatom",0.634,262602,226338,296515,70177,247848,276663,28815,2.44
"Goba",0.22,14678,10686,19036,8350,13280,16152,2872,2.91
"Goba Koricha",0.336,31408,25565,37750,12186,25270,38286,13016,0.94
"Gobu Seyo",0.317,29228,26023,33002,6978,28661,29799,1138,6.13
"Gode",0.387,0,0,0,0,0,0,0,NA
"Godere",0.306,8041,7165,9005,1840,7792,8293,501,3.67
"Gog",0.351,765,517,1069,552,623,924,302,1.83
"Golo Oda",0.321,24,0,449,449,2,66,64,7.02
"Gololcha Arsi",0.315,57033,47105,67452,20348,53190,60984,7794,2.61
"Gololcha Bale",0.24,31401,24492,38687,14195,25329,38643,13314,1.07
"Goma",0.318,46075,40791,51576,10785,44949,47212,2263,4.77
"Goncha Siso Enese",0.407,53738,45570,62233,16663,51179,56326,5147,3.24
"Gonder Zuria",0.232,53227,44296,62614,18318,50269,56281,6012,3.05
"Gonje",0.318,18057,15724,20493,4770,17445,18677,1232,3.87
"Gorche",0.224,28753,20076,40316,20240,27080,30483,3403,5.95
"Goro",0.269,48724,43095,54722,11628,46547,50985,4438,2.62
"Goro Baqaqsa",0.418,2778,962,5856,4894,704,5323,4619,1.06
"Goro Dola",0.669,48168,31360,63664,32305,41720,54080,12359,2.61
"Goro Gutu",0.345,40,0,0,0,4,107,104,0
"Guagusa Shikudad",0.291,22659,19508,26228,6720,21986,23342,1356,4.96
"Guangua",0.29,81763,72770,91595,18825,79528,84025,4497,4.19
"Guba",0.465,10140,8327,11944,3617,9257,11029,1771,2.04
"Guba Lafto",0.438,72509,58436,86992,28556,67441,77642,10201,2.8
"Gudetu Kondole",0.429,29346,26571,32077,5506,28710,29985,1275,4.32
"Guduru",0.375,55935,47679,66948,19269,53611,58281,4670,4.13
"Gulina",0.248,37753,15831,68019,52188,26223,51469,25246,2.07
"Guliso",0.296,14370,12794,16039,3245,14066,14676,610,5.32
"Gulomekeda",0.023,1136,57,5033,4976,40,6032,5993,0.83
"Gumay",0.325,17959,15931,20190,4259,17568,18353,785,5.43
"Gumer",0.285,22925,17585,29567,11983,22058,23809,1752,6.84
"Guna",0.298,25684,20625,31113,10488,24032,27382,3350,3.13
"Gunagado",0.371,0,0,0,0,0,0,0,NA
"Gura Damole",0.382,11441,8285,14886,6601,8898,14088,5189,1.27
"Guradamole",0.261,8147,6414,10250,3837,1816,19532,17716,0.22
"Gurafereda",0.368,5700,5090,6362,1272,5503,5899,396,3.21
"Gursum",0.357,0,0,0,0,0,0,0,NA
"Guto Gida",0.309,30756,27524,34230,6707,29912,31616,1703,3.94
"Guzamn",0.372,46258,40845,51682,10837,44729,47804,3076,3.52
"Habro",0.322,29823,24232,35642,11409,24456,35792,11335,1.01
"Habru",0.454,87997,70512,106434,35921,80710,95394,14684,2.45
"Hadelela",0.571,48402,31266,62151,30884,41679,54799,13121,2.35
"Hadero Tubito",0.298,26634,21532,31933,10401,25794,27487,1693,6.14
"Hagere Mariam",0.425,34269,28253,40033,11780,32525,36032,3507,3.36
"Halu",0.303,5605,5012,6197,1185,5481,5730,249,4.76
"Hambela Wamena",0.248,12989,10526,15489,4963,12275,13722,1447,3.43
"Hamer",0.466,258226,230890,285980,55090,216154,298534,82380,0.67
"Hamero",0.317,0,0,0,0,0,0,0,NA
"Harar",0.346,0,0,0,0,0,0,0,NA
"Harena Buluk",0.236,13382,10656,16327,5671,12290,14523,2233,2.54
"Hareshen",0.375,0,0,0,0,0,0,0,NA
"Hargele",0.405,0,0,0,0,0,0,0,NA
"Haro Limu",0.315,24871,21714,28499,6785,24107,25645,1538,4.41
"Haro Maya",0.346,0,0,0,0,0,0,0,NA
"Haru",0.289,9452,8429,10522,2093,9265,9641,376,5.57
"Hawa Galan",0.286,6497,5761,7258,1497,6301,6697,396,3.78
"Hawi Gudina",0.299,27187,21755,32467,10712,18641,38920,20279,0.53
"Hawzen",0.037,3258,252,12550,12298,1018,7852,6834,1.8
"Hidabu Abote",0.43,35874,31060,41036,9976,34223,37539,3317,3.01
"Hintalo Wejirat",0.094,14217,2841,37850,35009,7297,24488,17192,2.04
"Hitosa",0.311,36330,29574,43035,13461,34280,38432,4151,3.24
"Homa",0.291,2126,1899,2370,471,2088,2165,78,6.04
"Homosha",0.611,1009,917,1098,181,983,1035,51,3.55
"Horo",0.349,11640,9529,13408,3879,11279,12003,724,5.36
"Hudet",0.865,22357,14840,25597,10757,19466,24305,4839,2.22
"Hulet Ej Enese",0.362,90253,77387,103716,26329,86321,94250,7929,3.32
"Hulla",0.217,27708,19313,38969,19656,26100,29373,3273,6.01
"Humbo",0.331,27638,24756,30577,5821,27023,28260,1237,4.71
"Hurumu",0.311,13011,11619,14457,2838,12704,13322,617,4.6
"Ibantu",0.316,19367,16871,22300,5429,18778,19964,1186,4.58
"Ifata",0.38,22586,19369,25466,6097,21892,23287,1395,4.37
"Ilu",0.408,15575,13713,17550,3837,15045,16108,1063,3.61
"Inkolo Wabe",0.238,25867,20671,31927,11256,24188,27605,3418,3.29
"Itang",0.42,18538,16215,21202,4988,17692,19377,1684,2.96
"Jabi Tehnan",0.335,68423,60966,76068,15102,66461,70406,3945,3.83
"Jama",0.496,57981,46800,69325,22525,54472,61492,7020,3.21
"Janamora",0.269,22579,16446,28569,12123,20897,24323,3427,3.54
"Jarso",0.333,21213,18920,23698,4777,20794,21636,842,5.67
"Jarte Jardega",0.352,37565,32731,41981,9250,36690,38449,1759,5.26
"Jawi",0.347,28602,25597,31817,6220,27438,29785,2347,2.65
"Jeju",0.307,54578,46273,63628,17355,51469,57763,6294,2.76
"Jeldu",0.384,94810,82832,106267,23435,91833,97814,5981,3.92
"Jibat",0.371,6561,5515,7439,1925,6417,6706,289,6.66
"Jida",0.43,38068,31778,44080,12302,36172,39981,3809,3.23
"Jijiga",0.367,0,0,0,0,0,0,0,NA
"Jikawo",0.057,1792,349,4747,4398,907,3134,2227,1.97
"Jille Timuga",0.523,71213,58088,84678,26590,66348,76058,9710,2.74
